educ,exper,tenure,male,white,numdep,married,class
11,2,0,0,1,2,0,3.1
12,22,2,0,1,3,1,3.24
11,2,0,1,1,2,0,3.0
8,44,28,1,1,0,1,6.0
12,7,2,1,1,1,1,5.3
16,9,8,1,1,0,1,8.75
18,15,7,1,1,0,0,11.25
12,5,3,0,1,0,0,5.0
12,26,4,0,1,2,0,3.6
17,22,21,1,1,0,1,18.18
16,8,2,0,1,0,0,6.25
13,3,0,0,1,0,0,8.13
12,15,0,1,1,2,1,8.77
12,18,3,1,1,0,0,5.5
12,31,15,1,1,1,1,22.2
16,14,0,1,1,1,1,17.33
12,10,0,0,1,0,1,7.5
13,16,10,0,1,0,0,10.63
12,13,0,0,1,3,1,3.6
12,36,6,0,1,0,1,4.5
12,11,4,0,1,0,0,6.88
12,29,13,1,1,3,1,8.48
16,9,9,0,1,0,0,6.33
12,3,1,0,1,0,0,0.53
11,37,8,0,0,0,0,6.0
16,3,3,1,0,1,1,9.56
16,11,10,1,1,1,1,7.78
16,31,0,1,1,0,1,12.5
15,30,0,1,1,2,1,12.5
8,9,1,0,1,2,1,3.25
14,23,5,1,1,2,1,13.0
14,2,5,0,1,2,0,4.5
13,16,16,0,1,0,0,9.68
12,7,3,0,1,0,0,5.0
12,3,0,0,1,0,0,4.68
16,22,4,0,0,1,1,4.27
12,15,6,0,0,1,1,6.15
4,39,15,1,1,5,1,3.51
14,3,3,0,1,0,1,3.0
12,11,0,0,1,0,0,6.25
12,3,0,0,1,0,1,7.81
12,20,5,0,0,4,1,10.0
14,16,0,0,1,1,1,4.5
11,45,12,0,1,0,1,4.0
13,11,4,0,1,0,0,6.38
15,20,13,1,1,2,1,13.7
10,1,0,1,1,1,0,1.67
12,36,2,0,1,1,1,2.93
14,9,2,1,1,0,0,3.65
12,15,1,0,1,2,1,2.9
12,18,0,0,1,2,0,1.63
16,3,2,0,1,0,0,8.6
12,15,5,1,1,1,1,5.0
12,7,7,1,1,0,1,6.0
12,2,0,1,1,2,0,2.5
15,3,0,1,1,1,0,3.25
16,1,1,0,1,1,0,3.4
8,13,0,1,0,0,0,10.0
18,8,8,0,1,0,0,21.63
16,7,0,1,1,0,0,4.38
13,40,20,0,1,0,0,11.71
14,42,5,1,1,0,0,12.39
10,36,8,1,1,0,0,6.25
10,13,0,0,0,4,0,3.71
14,9,3,1,1,0,0,7.78
14,26,23,1,1,2,1,19.98
16,7,4,0,0,3,1,6.25
12,25,3,1,1,3,1,10.0
16,10,5,1,1,1,1,5.71
12,3,2,0,1,4,0,2.0
16,3,0,0,1,0,0,5.71
17,17,2,1,0,3,1,13.08
12,17,8,1,1,2,1,4.91
12,20,34,0,1,2,1,2.91
12,7,0,0,1,0,1,3.75
13,24,19,1,1,2,1,11.9
12,28,0,0,1,1,1,4.0
12,2,1,0,1,1,0,3.1
12,19,13,1,1,4,1,8.45
18,13,0,1,1,2,1,7.14
9,22,5,1,1,4,1,4.5
16,3,1,1,1,0,0,4.65
10,4,0,0,1,1,0,2.9
12,7,5,1,1,0,0,6.67
12,6,2,0,0,1,0,3.5
12,13,3,0,1,1,1,3.26
12,14,0,0,1,1,1,3.25
12,14,4,0,1,1,0,8.0
8,40,24,1,0,2,1,9.85
12,11,7,1,1,1,1,7.5
12,14,6,1,1,2,1,5.91
14,40,39,1,1,0,1,11.76
12,1,0,0,1,2,0,3.0
12,2,0,0,1,0,0,4.81
12,4,1,0,1,0,0,6.5
9,19,1,0,1,1,1,4.0
13,1,0,1,1,1,0,3.5
12,34,22,1,1,0,1,13.16
14,5,2,1,1,2,1,4.25
12,3,0,1,1,0,0,3.5
15,6,6,0,1,0,0,5.13
12,14,0,0,1,3,1,3.75
12,35,12,0,1,0,1,4.5
12,8,4,0,1,0,0,7.63
14,7,7,1,0,1,1,15.0
15,11,3,0,1,2,1,6.85
12,14,11,1,1,2,1,13.33
12,35,10,1,1,0,0,6.67
12,46,0,0,1,0,0,2.53
17,7,0,1,1,0,1,9.8
11,45,12,1,1,0,1,3.37
18,29,25,1,1,0,1,24.98
12,6,3,1,1,0,1,5.4
14,15,0,1,1,2,1,6.11
14,33,16,0,1,0,1,4.2
10,15,0,1,1,0,0,3.75
14,5,0,0,1,0,1,3.5
12,7,2,1,1,0,0,3.64
15,6,1,1,1,1,1,3.8
8,33,12,0,1,3,1,3.0
16,2,1,0,1,0,1,5.0
14,4,0,0,1,2,1,4.63
15,1,0,1,1,0,0,3.0
12,29,0,0,1,1,0,3.2
18,17,3,1,1,2,1,3.91
16,17,3,0,1,2,1,6.43
10,36,3,0,1,0,1,5.48
8,31,30,1,1,0,0,1.5
10,23,2,0,1,2,0,2.9
11,13,1,1,1,0,1,5.0
18,3,3,1,1,0,1,8.92
15,15,0,1,1,0,0,5.0
12,48,1,1,1,0,1,3.52
11,6,0,0,1,1,0,2.9
12,12,0,1,1,3,1,4.5
12,5,0,0,1,2,0,2.25
14,19,5,1,1,4,1,5.0
16,9,3,1,0,2,1,10.0
2,39,13,1,1,0,1,3.75
14,28,11,0,1,0,1,10.0
16,23,20,1,1,4,1,10.95
12,2,0,1,1,0,0,7.9
12,15,1,0,1,0,0,4.72
13,5,0,0,1,1,1,5.84
12,18,2,0,1,3,0,3.83
15,2,2,0,1,2,0,3.2
10,3,0,0,0,5,0,2.0
12,31,4,0,1,3,1,4.5
16,20,5,0,1,3,1,11.55
13,34,15,0,0,0,1,2.14
9,5,0,1,0,5,0,2.38
12,11,0,1,1,1,0,3.75
13,31,3,1,1,0,0,5.52
12,8,5,0,1,0,1,6.5
12,2,2,0,1,1,0,3.1
14,18,5,1,1,2,1,10.0
16,3,0,1,1,0,1,6.63
16,3,2,1,1,0,1,10.0
9,4,1,0,1,5,0,2.31
18,4,4,1,1,0,0,6.88
10,1,0,1,1,4,0,2.83
10,1,0,0,1,1,0,3.13
13,28,5,1,1,1,1,8.0
12,47,4,0,1,0,1,4.5
18,13,1,0,1,0,0,8.65
13,2,6,0,1,0,0,2.0
12,48,2,0,1,0,1,4.75
13,6,5,0,1,1,1,6.25
13,8,0,1,1,2,1,6.0
13,25,21,1,1,2,1,15.38
18,13,7,0,1,0,0,14.58
12,8,1,1,1,0,0,12.5
12,19,10,0,1,2,1,5.25
13,1,4,0,1,1,0,2.17
12,43,5,0,1,0,0,7.14
12,19,9,0,1,1,1,6.22
12,11,5,0,1,0,1,9.0
14,43,4,1,1,0,1,10.0
10,44,3,1,1,0,1,5.77
12,22,11,0,1,2,1,4.0
16,3,2,1,1,1,1,8.75
16,3,2,0,1,0,0,6.53
12,41,11,0,1,0,0,7.6
14,5,0,1,1,0,0,5.0
12,14,11,0,1,0,0,5.0
12,24,16,1,1,3,1,21.86
12,28,8,1,1,0,1,8.64
12,25,8,1,1,1,1,3.3
12,3,0,1,1,0,0,4.44
12,11,0,1,1,0,1,4.55
12,7,6,0,0,0,1,3.5
16,9,2,1,1,1,1,6.25
16,5,0,1,1,0,1,3.85
14,9,3,0,1,0,1,6.18
11,1,0,0,1,3,0,2.91
16,2,1,0,0,0,0,6.25
12,13,0,0,1,0,1,6.25
12,10,2,1,1,3,1,9.05
17,5,3,1,1,0,1,10.0
12,30,8,1,1,0,1,11.11
12,31,19,1,1,3,1,6.88
16,1,2,1,0,0,0,8.75
8,9,0,1,1,0,1,10.0
12,10,0,0,1,2,1,3.05
12,38,0,0,1,0,1,3.0
12,19,6,0,1,2,1,5.8
16,5,0,0,1,0,1,4.1
12,26,2,1,1,1,1,8.0
12,35,12,0,1,0,0,6.15
9,2,0,0,1,1,0,2.7
13,1,2,0,1,1,0,2.75
16,19,10,0,1,0,1,3.0
14,3,2,0,1,0,0,3.0
8,36,24,1,1,3,1,7.36
14,29,24,1,1,1,1,7.5
13,1,2,1,1,3,0,3.5
12,38,3,0,1,1,1,8.1
18,1,2,1,1,1,0,3.75
9,29,0,1,0,1,1,3.25
8,36,15,0,1,0,1,5.83
8,4,0,1,1,3,0,3.5
12,45,4,0,1,0,1,3.33
14,22,3,0,1,0,0,4.0
12,20,4,0,1,2,1,3.5
16,5,0,1,1,0,1,6.25
8,15,2,0,0,1,1,2.95
13,10,2,0,1,0,1,5.71
9,3,0,0,1,0,0,3.0
16,16,7,1,1,2,1,22.86
12,38,1,1,1,0,1,9.0
15,33,26,1,1,1,1,8.33
11,2,0,1,1,0,0,3.0
14,6,5,1,1,0,1,5.75
12,19,3,1,0,2,1,6.76
12,29,0,1,1,2,1,10.0
12,2,0,1,1,0,0,3.0
18,3,1,0,1,0,0,3.5
12,4,0,1,1,0,0,3.25
12,10,1,0,0,0,0,4.0
12,4,0,0,1,1,0,2.92
12,14,10,0,0,3,0,3.06
12,15,5,0,1,1,1,3.2
12,19,0,1,1,3,1,4.75
14,17,0,0,1,4,1,3.0
16,29,7,1,1,1,1,18.16
12,2,0,0,1,2,0,3.5
14,5,0,1,1,0,0,4.11
11,38,3,0,0,0,0,1.96
12,3,0,0,1,0,0,4.29
10,47,0,1,1,0,0,3.0
12,7,6,1,1,0,1,6.45
6,47,13,1,0,0,1,5.2
13,23,2,0,0,0,0,4.5
12,12,3,1,1,3,1,3.88
10,11,0,0,1,2,0,3.45
12,25,23,1,1,0,0,10.91
14,6,0,0,1,0,1,4.1
13,3,1,1,1,0,0,3.0
12,14,7,1,0,2,1,5.9
18,13,0,0,1,0,0,18.0
12,9,0,1,1,0,0,4.0
12,1,0,1,0,0,0,3.0
12,6,0,0,1,1,1,3.55
12,11,1,0,1,2,1,3.0
12,47,44,1,1,0,1,8.75
8,49,6,0,1,1,0,2.9
13,37,17,0,1,0,1,6.26
13,2,0,0,1,0,0,3.5
14,7,0,0,1,0,1,4.6
12,22,8,1,1,2,0,6.0
10,8,0,0,1,1,0,2.89
16,1,1,1,1,0,1,5.58
12,43,6,0,1,0,1,4.0
16,2,2,1,1,0,0,6.0
12,2,1,0,1,2,0,4.5
14,1,3,1,1,0,0,2.92
18,1,0,1,1,0,0,4.33
17,26,20,1,1,2,1,18.89
13,1,1,0,1,2,0,4.28
14,37,7,0,1,0,1,4.57
15,12,4,0,1,2,1,6.25
14,41,23,1,0,0,1,2.95
12,24,1,1,1,0,0,8.75
8,38,26,1,1,0,0,8.5
12,18,0,0,1,4,1,3.75
12,26,1,1,1,0,1,3.15
8,45,2,1,1,0,0,5.0
12,27,0,1,1,3,1,6.46
9,2,0,1,1,3,0,2.0
12,41,8,1,1,0,1,4.79
16,11,4,1,1,2,1,5.78
12,5,0,0,1,0,1,3.18
16,3,1,0,1,0,0,4.68
12,3,2,0,1,0,0,4.1
12,4,0,1,1,0,1,2.91
13,21,13,1,1,4,1,6.0
10,34,26,0,1,0,1,3.6
6,49,6,1,1,6,1,3.95
12,6,5,1,0,1,1,7.0
12,26,9,0,1,0,1,3.0
16,9,0,1,1,0,0,6.08
12,23,9,1,1,1,1,8.63
8,33,2,1,1,0,1,3.0
12,5,2,0,1,1,1,3.75
6,49,7,1,1,0,1,2.9
4,48,0,1,0,0,1,3.0
11,35,31,1,1,0,1,6.25
11,23,2,0,0,2,0,3.5
7,26,1,0,1,3,0,3.0
12,16,0,0,1,2,1,3.24
18,23,3,0,1,1,1,8.02
12,36,8,0,1,1,1,3.33
16,4,0,1,1,0,0,5.25
12,10,0,1,1,3,1,6.25
14,18,2,1,1,1,1,3.5
12,3,1,1,1,1,0,2.95
10,7,0,0,1,2,1,3.0
10,7,7,1,1,0,0,4.69
9,33,2,0,1,1,0,3.73
10,34,12,1,1,0,1,4.0
12,8,0,0,1,2,1,4.0
12,17,1,0,1,2,1,2.9
12,2,0,0,1,1,0,3.05
10,5,0,0,1,0,0,5.05
16,41,16,1,1,0,1,13.95
16,35,28,1,1,1,1,18.16
16,11,4,1,1,0,0,6.25
12,4,0,1,0,0,0,5.25
12,12,3,0,1,3,1,4.79
7,35,0,0,1,1,0,3.35
8,33,0,1,1,1,1,3.0
16,8,6,1,1,0,1,8.43
16,2,0,1,1,0,0,5.7
18,8,10,1,1,2,1,11.98
13,29,1,0,1,0,1,3.5
10,14,5,1,0,1,1,4.24
16,26,3,0,1,1,1,7.0
14,11,3,0,1,2,1,6.0
16,10,2,1,1,0,0,12.22
12,13,0,1,1,0,1,4.5
9,23,20,0,1,2,1,3.0
11,1,2,1,0,2,0,2.9
11,35,31,1,1,0,1,15.0
12,5,2,1,1,0,1,4.0
11,13,11,1,1,2,1,5.25
12,22,3,1,1,3,1,4.0
12,21,9,0,1,2,1,3.3
12,19,0,0,1,3,1,5.05
12,13,0,1,1,0,0,3.58
14,15,5,1,1,2,1,5.0
14,3,0,1,1,0,1,4.57
18,6,2,1,1,0,0,12.5
12,6,5,0,1,0,1,3.45
12,16,1,0,1,0,0,4.63
12,31,2,1,1,0,1,10.0
11,1,0,0,1,1,0,2.92
12,5,2,1,1,0,0,4.51
17,3,0,1,1,0,1,6.5
16,11,0,1,1,0,1,7.5
13,6,7,0,1,0,1,3.54
13,11,3,0,1,2,1,4.2
12,7,2,0,1,0,1,3.51
14,5,0,1,1,0,1,4.5
14,5,4,0,1,0,1,3.35
11,2,2,1,1,2,0,2.91
10,44,7,1,1,1,1,5.25
8,44,25,1,1,0,1,4.05
14,13,0,0,1,3,1,3.75
12,26,15,0,1,1,1,3.4
10,2,1,0,1,1,0,3.0
17,10,3,1,1,1,1,6.29
9,2,0,0,1,1,0,2.54
12,35,0,0,1,1,1,4.5
12,6,5,0,1,1,1,3.13
14,8,1,1,1,0,1,6.36
16,1,0,1,1,0,0,4.68
12,14,10,1,1,2,1,6.8
10,14,6,1,1,0,1,8.53
0,22,10,0,1,0,0,4.17
14,8,4,0,1,0,1,3.75
15,1,4,0,1,2,0,11.1
16,15,5,0,0,2,1,3.26
12,14,12,1,1,3,1,9.13
11,37,10,1,1,2,1,4.5
11,1,1,0,1,1,0,3.0
12,4,4,1,1,0,1,8.75
13,29,0,0,1,0,1,4.14
12,45,8,0,1,0,1,2.87
13,22,0,0,1,2,0,3.35
16,42,10,1,1,0,0,6.08
15,9,0,1,0,0,0,3.0
16,8,0,0,1,1,1,4.2
15,31,15,0,1,2,0,5.6
12,24,24,1,1,0,1,10.0
18,16,5,1,1,1,1,12.5
6,6,0,1,1,4,0,3.76
6,14,0,0,0,5,0,3.1
12,47,25,0,1,2,1,4.29
12,34,5,1,1,0,1,10.92
16,6,2,0,1,1,1,7.5
9,7,4,0,1,1,1,4.05
12,27,2,1,1,3,1,4.65
11,24,5,1,1,0,1,5.0
10,18,0,0,1,2,1,2.9
12,12,3,0,0,1,0,8.0
8,27,3,1,1,3,1,8.43
9,49,0,0,1,0,0,2.92
17,4,0,0,1,0,0,6.25
16,24,2,0,1,2,1,6.25
11,3,0,1,1,0,0,5.11
10,2,0,0,1,1,0,4.0
8,29,11,1,1,3,1,4.44
13,34,21,1,1,0,1,6.88
14,10,3,1,0,1,1,5.43
13,5,0,0,1,1,0,3.0
11,2,0,0,1,2,0,2.9
7,39,21,1,0,0,1,6.25
16,5,2,0,0,0,0,4.34
12,14,2,0,1,2,1,3.25
13,8,2,1,1,0,0,7.26
14,10,1,0,1,2,1,6.35
16,2,2,1,1,0,1,5.63
14,9,3,1,1,1,1,8.75
11,1,0,1,1,0,0,3.2
8,45,1,0,1,0,1,3.0
14,33,3,0,1,0,1,3.0
17,21,18,1,1,3,1,12.5
10,2,0,0,1,3,0,2.88
12,9,1,1,1,0,1,3.35
12,33,2,1,1,0,1,6.5
18,16,2,1,0,1,1,10.38
14,10,0,1,1,0,1,4.5
18,9,8,1,1,0,0,10.0
12,8,1,0,1,2,1,3.81
16,9,1,1,1,0,1,8.8
14,23,0,0,1,2,1,9.42
12,23,8,1,1,2,1,6.33
9,22,18,1,0,0,0,4.0
12,37,0,0,1,0,1,2.9
12,22,4,1,1,1,1,20.0
17,28,25,1,1,1,1,11.25
12,14,0,0,0,2,0,3.5
15,19,4,0,1,2,1,6.0
17,10,9,1,0,1,1,14.38
16,25,0,1,1,1,1,6.36
12,21,0,0,1,1,1,3.55
15,32,0,1,1,0,1,3.0
16,21,10,1,1,1,1,4.5
12,36,0,0,1,0,0,6.63
15,2,2,1,1,0,1,9.3
12,11,0,0,1,2,1,3.0
12,40,2,0,1,0,0,3.25
12,11,1,0,1,2,1,1.5
12,9,7,0,1,1,1,5.9
16,23,4,1,1,0,0,8.0
11,1,0,0,1,1,0,2.9
14,30,13,1,1,0,0,3.29
14,41,33,1,1,0,1,6.5
13,6,0,0,1,1,0,4.0
14,11,0,1,1,0,1,6.0
12,43,17,0,1,0,1,4.08
12,39,2,0,1,0,1,3.75
8,50,24,0,1,0,0,3.05
12,26,20,0,1,0,1,3.5
3,51,30,1,0,0,0,2.92
11,3,9,1,1,0,0,4.5
15,3,1,0,1,2,1,3.35
11,15,9,1,0,1,1,5.95
12,17,6,1,1,2,1,8.0
4,36,0,1,1,1,1,3.0
9,31,9,1,0,6,1,5.0
12,9,4,1,1,1,1,5.5
12,42,10,0,1,0,1,2.65
11,3,0,0,1,2,0,3.0
12,37,14,0,1,0,1,4.5
16,23,22,1,1,3,1,17.5
13,21,5,1,1,0,0,8.18
15,11,12,1,1,1,1,9.09
16,35,13,1,1,0,1,11.82
12,42,0,0,1,0,1,3.25
12,3,0,1,1,0,0,4.5
12,13,0,1,1,0,1,4.5
9,14,7,1,1,2,1,3.71
10,14,11,1,1,3,1,6.5
12,39,1,0,1,0,1,2.9
11,11,8,1,1,2,1,5.6
8,28,3,1,1,4,1,2.23
6,18,0,0,1,3,1,5.0
16,6,2,1,1,0,1,8.33
12,26,1,0,1,4,0,2.9
12,21,6,1,1,3,1,6.25
16,34,2,1,1,0,1,4.55
12,17,2,0,1,0,0,3.28
10,2,0,0,1,4,0,2.3
13,5,0,0,1,0,0,3.3
13,1,0,0,1,4,0,3.15
14,40,30,1,1,0,1,12.5
16,39,21,0,1,0,0,5.15
10,1,1,1,1,2,0,3.13
12,14,5,1,1,3,1,7.25
12,2,2,0,1,0,0,2.9
11,2,1,1,1,2,0,1.75
0,42,0,0,1,2,1,2.89
5,34,0,0,1,5,1,2.9
16,10,3,1,1,1,1,17.71
16,4,3,1,1,0,1,6.25
9,4,0,1,1,1,0,2.6
15,21,3,0,1,2,1,6.63
12,31,3,0,0,1,0,3.5
12,20,14,1,1,3,1,6.5
12,36,1,0,0,0,0,3.0
13,7,0,1,0,1,1,4.38
12,15,0,1,1,1,0,10.0
7,25,17,1,1,5,1,4.95
17,7,0,0,1,2,1,9.0
12,17,0,0,1,2,1,1.43
12,3,1,1,1,0,0,3.08
14,12,11,1,1,3,1,9.33
12,18,5,1,1,2,1,7.5
13,47,1,1,1,0,1,4.75
12,2,0,1,1,0,0,5.65
16,14,2,0,1,2,1,15.0
10,2,0,0,1,3,0,2.27
15,13,18,1,1,3,1,4.67
16,5,1,1,1,0,1,11.56
14,5,4,0,0,2,0,3.5
